序号,交易对,卖量暴涨倍数,当日买量倍数,当日卖量倍数,买卖量比值,信号时未平仓量,建仓时未平仓量,未平仓量比率,买量加速度,信号时间,信号价,建仓日期,建仓具体时间,建仓5分钟时刻,建仓时多空比,建仓价,建仓涨幅%,平仓日期,平仓具体时间,平仓价,持仓小时数,盈亏百分比,建仓手续费,补仓手续费,平仓手续费,交易手续费合计,资金费,资金费次数,平均费率%,盈亏金额,扣交易费后,最终净盈亏,真实盈亏金额,余额,连续爆,2小时判断,12小时判断,平仓原因,基差%,杠杆倍数,仓位金额,是否有补仓,补仓价格,补仓后平均价,2h收盘价,2h涨幅%,2h最大跌幅%,12h收盘价,12h涨幅%,12h最大跌幅%,24h收盘价,24小时涨幅%,24h最大跌幅%,72h最大跌幅%,最大跌幅%,2小时最大涨幅%,24小时最大涨幅%,止盈阈值%,建仓时账户多空比,信号时账户多空比,多空比变化率,当前5m时间,当前5m收盘价,当前浮盈金额,当前浮盈百分比
1,HMSTRUSDT,99.9,25.7,24.1,1.065,,,,0.0000,2025-11-04 20:00,0.000448,2025-11-04,2025-11-04 21:00:00,2025-11-04 21:00:00,,0.000444,-0.85%,2025-11-06,2025-11-06 00:00:00,0.000347,27.0,21.90%,0.3000,,0.2343,0.5343,0.0000,,,328.57,328.03,328.03,328.03,10328.03,是,强（保持30%）,强（30%）,btc_yesterday_yang_flatten_open,-0.9526%,3.0,500.00,否,,,0.000399,-10.15%,17.15%,0.000329,-25.84%,26.70%,0.000348,-21.63%,30.19%,32.01%,30.19%,9.25%,,,,,,,,,
2,ALCHUSDT,43.1,41.2,35.8,1.148,,,,0.0000,2025-11-04 15:00,0.076080,2025-11-04,2025-11-04 16:00:00,2025-11-04 16:00:00,,0.080140,5.34%,2025-11-05,2025-11-05 04:00:00,0.083870,12.0,-4.65%,0.2850,,0.2983,0.5833,-1.2325,3,0.0288%,-66.32,-66.91,-65.68,-65.68,10262.36,是,中（改成20%）,弱（12%）,early_stop_loss_12h,0.3257%,3.0,475.00,否,,,0.080700,0.70%,5.18%,0.083870,4.65%,5.18%,0.085210,,5.18%,5.18%,5.18%,4.62%,,,,,,,,,
3,GPSUSDT,34.7,58.3,53.4,1.092,,,,0.0000,2025-11-04 20:00,0.006910,2025-11-04,2025-11-04 21:00:00,2025-11-04 21:00:00,,0.006743,-2.42%,2025-11-06,2025-11-06 00:00:00,0.006042,27.0,10.40%,0.2707,,0.2426,0.5134,0.0000,,,140.74,140.22,140.22,140.22,10402.58,是,强（保持30%）,强（30%）,btc_yesterday_yang_flatten_open,0.0000%,3.0,451.25,否,,,0.006052,-10.25%,23.57%,0.005903,-12.46%,23.57%,0.006060,-10.13%,23.57%,23.57%,23.57%,5.34%,,,,,,,,,
4,MONUSDT,28.4,21.8,22.9,0.953,,,,0.0000,2025-11-04 21:00,0.052540,2025-11-04,2025-11-04 22:00:00,2025-11-04 22:00:00,,0.054190,3.14%,2025-11-04,2025-11-04 23:00:00,0.063944,1.0,-18.00%,0.2572,,0.3035,0.5607,0.0000,,,-231.49,-232.05,-232.05,-232.05,10170.53,否,强（2h内默认）,强（保持30%）,stop_loss,0.0000%,3.0,428.69,否,,,0.060860,12.31%,8.65%,0.054800,1.13%,8.65%,0.059850,,8.65%,8.65%,8.65%,21.79%,,,,,,,,,
5,PORTALUSDT,26.1,11.6,12.9,0.897,,,,0.0000,2025-11-04 22:00,0.022760,2025-11-04,2025-11-04 23:00:00,2025-11-04 23:00:00,,0.022400,-1.58%,2025-11-06,2025-11-06 00:00:00,0.022310,25.0,0.40%,0.2503,,0.2492,0.4995,0.0000,,,5.03,4.53,4.53,4.53,10175.06,否,中（改成20%）,弱（12%）,btc_yesterday_yang_flatten_open,-0.1070%,3.0,417.08,否,,,0.021630,-3.44%,4.20%,0.021390,-4.51%,8.30%,0.022410,0.04%,8.30%,8.30%,8.30%,2.77%,,,,,,,,,
6,SAHARAUSDT,24.5,16.5,19.5,0.843,,,,0.0000,2025-11-04 18:00,0.077580,2025-11-04,2025-11-04 19:00:00,2025-11-04 19:00:00,,0.076920,-0.85%,2025-11-06,2025-11-06 00:00:00,0.077150,29.0,-0.30%,0.2377,,0.2384,0.4762,0.0000,,,-3.55,-4.03,-4.03,-4.03,10171.03,否,中（改成20%）,弱（12%）,btc_yesterday_yang_flatten_open,0.0000%,3.0,396.23,否,,,0.078650,2.25%,1.07%,0.076660,-0.34%,1.56%,0.077030,0.14%,1.56%,1.56%,1.56%,2.74%,,,,,,,,,
7,DOGSUSDT,23.2,26.9,25.5,1.054,,,,0.0000,2025-11-04 20:00,0.000047,2025-11-04,2025-11-04 21:00:00,2025-11-04 21:00:00,,0.000046,-2.35%,2025-11-06,2025-11-06 00:00:00,0.000046,27.0,-1.31%,0.2259,,0.2288,0.4547,0.0000,,,-14.79,-15.25,-15.25,-15.25,10155.78,否,中（改成20%）,弱（12%）,btc_yesterday_yang_flatten_open,-0.0047%,3.0,376.42,否,,,0.000045,-2.40%,5.24%,0.000045,-2.40%,5.68%,0.000046,1.09%,5.68%,5.68%,5.68%,3.28%,,,,,,,,,
8,USUALUSDT,23.1,4.3,4.3,0.997,,,,0.0000,2025-11-04 21:00,0.028480,2025-11-04,2025-11-04 22:00:00,2025-11-04 22:00:00,,0.028870,1.37%,2025-11-05,2025-11-05 04:00:00,0.034067,6.0,-18.00%,0.2146,,0.2532,0.4677,0.0000,,,-193.10,-193.57,-193.57,-193.57,9962.21,否,中（改成20%）,中（保持20%）,stop_loss,0.0000%,3.0,357.60,否,,,0.029200,1.14%,3.50%,0.030040,4.05%,5.65%,0.032830,,5.65%,5.65%,5.65%,1.70%,,,,,,,,,
9,XPINUSDT,18.5,8.9,9.1,0.978,,,,0.0000,2025-11-04 16:00,0.004057,2025-11-04,2025-11-04 17:00:00,2025-11-04 17:00:00,,0.003966,-2.23%,2025-11-06,2025-11-06 00:00:00,0.003709,31.0,6.48%,0.2038,,0.1906,0.3945,0.0000,,,66.04,65.65,65.65,65.65,10027.85,是,中（改成20%）,弱（12%）,btc_yesterday_yang_flatten_open,0.0000%,3.0,339.72,否,,,0.003930,-0.91%,10.46%,0.003576,-9.83%,13.87%,0.003938,-0.71%,17.95%,17.95%,17.95%,5.60%,,,,,,,,,
10,RESOLVUSDT,16.4,4.0,4.8,0.832,,,,0.0000,2025-11-04 22:00,0.046090,2025-11-04,2025-11-04 23:00:00,2025-11-04 23:00:00,,0.045850,-0.52%,2025-11-05,2025-11-05 04:00:00,0.054103,5.0,-18.00%,0.1936,,0.2285,0.4221,0.0000,,,-174.28,-174.70,-174.70,-174.70,9853.16,否,中（改成20%）,中（保持20%）,stop_loss,0.0000%,3.0,322.73,否,,,0.045800,-0.11%,1.42%,0.054090,17.97%,4.67%,0.055810,,4.67%,4.67%,4.67%,4.06%,,,,,,,,,
11,HUMAUSDT,72.6,131.7,104.6,1.258,,,,0.0000,2025-11-05 18:00,0.019578,2025-11-05,2025-11-05 19:00:00,2025-11-05 19:00:00,,0.019619,0.21%,2025-11-06,2025-11-06 00:00:00,0.020851,5.0,-6.28%,0.2056,,0.2185,0.4241,0.0000,,,-64.55,-64.98,-64.98,-64.98,9788.18,是,中（改成20%）,中（保持20%）,btc_yesterday_yang_flatten_open,0.0000%,3.0,342.67,否,,,0.020759,5.81%,4.17%,0.021363,8.89%,4.17%,0.023882,,4.17%,4.17%,4.17%,17.26%,,,,,,,,,
12,MITOUSDT,24.6,19.2,15.8,1.213,,,,0.0000,2025-11-05 21:00,0.135320,2025-11-05,2025-11-05 22:00:00,2025-11-05 22:00:00,,0.116060,-14.23%,2025-11-05,2025-11-05 22:15:00,0.136951,0.25,-18.00%,0.1953,,0.2305,0.4258,0.0000,,,-175.79,-176.21,-176.21,-176.21,9611.97,是,强（2h内默认）,强（保持30%）,stop_loss,-0.2666%,3.0,325.53,否,,,0.113930,-1.84%,6.32%,0.085420,-26.40%,32.00%,0.088110,,32.00%,32.00%,6.32%,24.07%,,,,,,,,,
13,SYNUSDT,24.3,16.1,9.5,1.692,,,,0.0000,2025-11-05 22:00,0.072230,2025-11-05,2025-11-05 23:00:00,2025-11-05 23:00:00,,0.072410,0.25%,2025-11-06,2025-11-06 00:00:00,0.074190,1.0,-2.46%,0.1900,,0.1947,0.3847,0.0000,,,-23.36,-23.74,-23.74,-23.74,9588.22,否,强（2h内默认）,强（保持30%）,btc_yesterday_yang_flatten_open,-0.1623%,3.0,316.72,否,,,0.074760,3.25%,0.98%,0.077090,6.46%,0.98%,0.074310,,0.98%,3.99%,0.55%,7.71%,,,,,,,,,
14,MAVIAUSDT,22.2,16.6,16.3,1.019,,,,0.0000,2025-11-05 18:00,0.098650,2025-11-05,2025-11-05 19:00:00,2025-11-05 19:00:00,,0.096160,-2.52%,2025-11-06,2025-11-06 00:00:00,0.104530,5.0,-8.70%,0.1805,,0.1962,0.3768,0.0000,,,-78.57,-78.95,-78.95,-78.95,9509.28,否,中（改成20%）,中（保持20%）,btc_yesterday_yang_flatten_open,-0.2239%,3.0,300.89,否,,,0.100150,4.15%,3.39%,0.092310,-4.00%,5.36%,0.091840,,9.56%,12.94%,3.39%,7.55%,,,,,,,,,
15,HUSDT,22.0,7.9,8.3,0.955,,,,0.0000,2025-11-05 13:00,0.270830,2025-11-05,2025-11-05 14:00:00,2025-11-05 14:00:00,,0.266790,-1.49%,2025-11-05,2025-11-05 14:35:00,0.314812,0.58,-18.00%,0.1715,,0.2024,0.3739,0.0000,,,-154.35,-154.73,-154.73,-154.73,9354.55,是,强（2h内默认）,强（保持30%）,stop_loss,0.0000%,3.0,285.84,否,,,0.323560,21.28%,8.53%,0.201380,-24.52%,27.85%,0.135990,,50.31%,60.81%,2.32%,33.53%,,,,,,,,,
16,ERAUSDT,16.6,4.3,5.4,0.795,,,,0.0000,2025-11-05 09:00,0.252500,2025-11-05,2025-11-05 10:00:00,2025-11-05 10:00:00,,0.253800,0.51%,2025-11-05,2025-11-05 10:40:00,0.299484,0.67,-18.00%,0.1669,,0.1969,0.3638,0.0000,,,-150.18,-150.54,-150.54,-150.54,9204.01,是,强（2h内默认）,强（保持30%）,stop_loss,-4.3568%,3.0,278.10,否,,,0.319500,25.89%,0.67%,0.273700,7.84%,0.67%,0.257500,,0.67%,5.08%,0.67%,34.48%,,,,,,,,,
17,ZKJUSDT,13.2,13.6,28.8,0.473,,,,0.0000,2025-11-05 17:00,0.071940,2025-11-05,2025-11-05 18:00:00,2025-11-05 18:00:00,,0.067860,-5.67%,2025-11-06,2025-11-06 00:00:00,0.062140,6.0,8.43%,0.1623,,0.1487,0.3110,0.0000,,,68.42,68.11,68.11,68.11,9272.12,是,强（保持30%）,强（保持30%）,btc_yesterday_yang_flatten_open,0.0000%,3.0,270.58,否,,,0.061180,-9.84%,23.87%,0.062550,-7.82%,23.87%,0.068640,,23.87%,23.87%,23.87%,10.04%,,,,,,,,,
18,RVNUSDT,12.9,24.2,22.9,1.054,,,,0.0000,2025-11-05 17:00,0.011210,2025-11-05,2025-11-05 18:00:00,2025-11-05 18:00:00,,0.010770,-3.93%,2025-11-06,2025-11-06 10:00:00,0.009585,16.0,11.00%,0.2782,,0.2476,0.5257,0.0000,,,152.99,152.46,152.46,152.46,9424.58,否,中（改成20%）,弱（12%）,take_profit,0.0000%,3.0,463.61,否,,,0.009860,-8.45%,9.10%,0.009910,-7.99%,10.21%,0.010280,,11.05%,11.05%,11.05%,4.27%,,11.0%,,,,,,,
19,KITEUSDT,10.1,4.5,5.4,0.841,,,,0.0000,2025-11-05 03:00,0.094640,2025-11-05,2025-11-05 04:00:00,2025-11-05 04:00:00,,0.097760,3.30%,2025-11-05,2025-11-05 16:00:00,0.087006,12.0,11.00%,0.2643,,0.2352,0.4994,0.0000,,,145.34,144.84,144.84,144.84,9569.43,否,中（改成20%）,弱（12%）,take_profit,0.0422%,3.0,440.43,否,,,0.089410,-8.54%,10.74%,0.090940,-6.98%,16.45%,0.085750,,17.82%,32.29%,16.45%,6.28%,,11.0%,,,,,,,
20,SOONUSDT,10.0,6.7,7.6,0.888,,,,0.0000,2025-11-05 14:00,0.761600,2025-11-05,2025-11-05 15:00:00,2025-11-05 15:00:00,,0.786400,3.26%,2025-11-05,2025-11-05 20:00:00,0.927952,5.0,-18.00%,0.2686,,0.3169,0.5856,0.0000,,,-241.74,-242.33,-242.33,-242.33,9327.10,否,中（改成20%）,中（保持20%）,stop_loss,0.0143%,3.0,447.67,否,,,0.778000,-1.07%,3.45%,1.420200,80.60%,4.60%,1.345200,,4.60%,4.60%,4.60%,6.78%,,,,,,,,,
21,DODOXUSDT,77.6,39.0,29.6,1.317,,,,0.0000,2025-11-07 18:00,0.030455,2025-11-07,2025-11-07 19:00:00,2025-11-07 19:00:00,,0.030573,0.39%,2025-11-08,2025-11-08 00:00:00,0.030140,5.0,1.42%,0.2798,,0.2758,0.5557,0.0000,,,19.81,19.26,19.26,19.26,9346.36,否,中（改成20%）,中（保持20%）,btc_yesterday_yang_flatten_open,0.0000%,3.0,466.35,否,,,0.030473,-0.33%,1.44%,0.029302,-4.16%,5.12%,0.030374,,5.33%,6.13%,2.06%,1.22%,,,,,,,,,
22,SLPUSDT,62.3,15.6,29.6,0.526,,,,0.0000,2025-11-07 17:00,0.001211,2025-11-07,2025-11-07 18:00:00,2025-11-07 18:00:00,,0.001206,-0.41%,2025-11-08,2025-11-08 00:00:00,0.001182,6.0,1.99%,0.2658,,0.2605,0.5264,0.0000,,,26.45,25.92,25.92,25.92,9372.28,是,中（改成20%）,中（保持20%）,btc_yesterday_yang_flatten_open,0.0000%,3.0,443.04,否,,,0.001204,-0.17%,3.73%,0.001139,-5.56%,6.55%,0.001139,,7.46%,8.04%,3.73%,0.91%,,,,,,,,,
23,MANTAUSDT,47.7,45.9,32.0,1.434,,,,0.0000,2025-11-07 10:00,0.119000,2025-11-07,2025-11-07 11:00:00,2025-11-07 11:00:00,,0.126200,6.05%,2025-11-08,2025-11-08 00:00:00,0.117000,13.0,7.29%,0.2525,,0.2341,0.4867,0.0000,,,92.05,91.56,91.56,91.56,9463.84,是,强（保持30%）,强（30%）,btc_yesterday_yang_flatten_open,-0.5693%,3.0,420.89,否,,,0.105500,-16.40%,17.83%,0.118800,-5.86%,19.65%,0.114400,,19.65%,19.65%,19.65%,4.83%,,,,,,,,,
24,C98USDT,45.5,12.3,11.8,1.044,,,,0.0000,2025-11-07 17:00,0.036900,2025-11-07,2025-11-07 18:00:00,2025-11-07 18:00:00,,0.037200,0.81%,2025-11-08,2025-11-08 00:00:00,0.036200,6.0,2.69%,0.2399,,0.2335,0.4734,0.0000,,,32.25,31.77,31.77,31.77,9495.62,否,中（改成20%）,中（保持20%）,btc_yesterday_yang_flatten_open,0.0000%,3.0,399.84,否,,,0.037100,-0.27%,1.08%,0.035700,-4.03%,5.11%,0.036800,,5.11%,6.72%,3.49%,2.69%,,,,,,,,,
25,PEOPLEUSDT,39.7,11.1,11.4,0.973,,,,0.0000,2025-11-07 16:00,0.016890,2025-11-07,2025-11-07 17:00:00,2025-11-07 17:00:00,,0.015380,-8.94%,2025-11-08,2025-11-08 00:00:00,0.013680,7.0,11.05%,0.2279,,0.2027,0.4306,0.0000,,,125.96,125.53,125.53,125.53,9621.14,是,中（改成20%）,中（保持20%）,btc_yesterday_yang_flatten_open,0.0000%,3.0,379.85,否,,,0.014250,-7.35%,12.03%,0.013830,-10.08%,14.69%,0.012610,,21.13%,25.10%,14.69%,14.56%,,,,,,,,,
26,CHESSUSDT,31.8,14.6,17.6,0.828,,,,0.0000,2025-11-07 15:00,0.044320,2025-11-07,2025-11-07 16:00:00,2025-11-07 16:00:00,,0.043920,-0.90%,2025-11-08,2025-11-08 00:00:00,0.046180,8.0,-5.15%,0.2165,,0.2277,0.4442,0.0000,,,-55.71,-56.15,-56.15,-56.15,9564.99,否,中（改成20%）,中（保持20%）,btc_yesterday_yang_flatten_open,0.0000%,3.0,360.86,否,,,0.045650,3.94%,2.32%,0.044760,1.91%,2.32%,0.044590,,2.32%,2.50%,2.32%,4.53%,,,,,,,,,
27,MEMEUSDT,28.6,4.5,5.1,0.888,,,,0.0000,2025-11-07 17:00,0.001828,2025-11-07,2025-11-07 18:00:00,2025-11-07 18:00:00,,0.001815,-0.71%,2025-11-08,2025-11-08 00:00:00,0.001708,6.0,5.90%,0.2057,,0.1936,0.3992,0.0000,,,60.63,60.23,60.23,60.23,9625.22,否,中（改成20%）,中（保持20%）,btc_yesterday_yang_flatten_open,-0.0451%,3.0,342.81,否,,,0.001795,-1.10%,2.70%,0.001633,-10.03%,10.58%,0.001622,,12.40%,15.26%,6.50%,1.16%,,,,,,,,,
28,FLUXUSDT,27.3,14.7,17.2,0.855,,,,0.0000,2025-11-07 10:00,0.113800,2025-11-07,2025-11-07 11:00:00,2025-11-07 11:00:00,,0.112500,-1.14%,2025-11-07,2025-11-07 16:00:00,0.132750,5.0,-18.00%,0.1954,,0.2306,0.4260,0.0000,,,-175.86,-176.29,-176.29,-176.29,9448.93,是,强（保持30%）,强（保持30%）,stop_loss,0.0000%,3.0,325.67,否,,,0.101700,-9.60%,10.22%,0.187200,66.40%,10.22%,0.255700,,10.22%,10.22%,10.22%,1.33%,,,,,,,,,
29,DUSDT,25.2,22.1,20.8,1.061,,,,0.0000,2025-11-07 17:00,0.022670,2025-11-07,2025-11-07 18:00:00,2025-11-07 18:00:00,,0.022500,-0.75%,2025-11-08,2025-11-08 00:00:00,0.021410,6.0,4.84%,0.1901,,0.1809,0.3710,0.0000,,,46.05,45.68,45.68,45.68,9494.61,否,中（改成20%）,中（保持20%）,btc_yesterday_yang_flatten_open,0.0000%,3.0,316.86,否,,,0.022020,-2.13%,3.51%,0.020070,-10.80%,11.78%,0.021950,,13.20%,13.20%,5.42%,1.78%,,,,,,,,,
30,PHBUSDT,23.5,14.6,13.9,1.050,,,,0.0000,2025-11-07 10:00,0.382600,2025-11-07,2025-11-07 11:00:00,2025-11-07 11:00:00,,0.380900,-0.44%,2025-11-07,2025-11-07 23:00:00,0.418200,12.0,-9.79%,0.1806,,0.1983,0.3789,0.0000,,,-88.43,-88.81,-88.81,-88.81,9405.80,否,中（改成20%）,弱（12%）,early_stop_loss_12h,-0.3900%,3.0,301.02,否,,,0.360100,-5.46%,6.54%,0.418200,9.79%,6.54%,0.393700,,6.54%,6.54%,6.54%,2.10%,,,,,,,,,
31,TOWNSUSDT,104.5,155.5,195.4,0.796,,,,0.0000,2025-11-09 16:00,0.014220,2025-11-09,2025-11-09 17:00:00,2025-11-09 17:00:00,,0.015410,8.37%,2025-11-10,2025-11-10 00:00:00,0.012030,7.0,21.93%,0.2822,,0.2203,0.5025,0.0000,,,309.46,308.96,308.96,308.96,9714.76,是,强（保持30%）,强（保持30%）,btc_yesterday_yang_flatten_open,-2.0670%,3.0,470.29,否,,,0.013360,-13.30%,18.36%,0.011690,-24.14%,25.96%,0.010790,,30.30%,36.66%,22.71%,10.32%,,,,,,,,,
32,ACTUSDT,63.9,46.2,51.2,0.902,,,,0.0000,2025-11-09 15:00,0.026880,2025-11-09,2025-11-09 16:00:00,2025-11-09 16:00:00,,0.025830,-3.91%,2025-11-10,2025-11-10 00:00:00,0.021850,8.0,15.41%,0.2681,,0.2268,0.4948,0.0049,2,-0.0002%,206.52,206.03,206.02,206.02,9920.78,是,强（保持30%）,强（保持30%）,btc_yesterday_yang_flatten_open,0.0000%,3.0,446.78,否,,,0.022510,-12.85%,15.87%,0.021930,-15.10%,17.54%,0.022260,,17.54%,23.11%,17.54%,16.49%,,,,,,,,,
33,SIRENUSDT,59.8,101.9,78.2,1.304,,,,0.0000,2025-11-09 09:00,0.081660,2025-11-09,2025-11-09 10:00:00,2025-11-09 10:00:00,,0.080450,-1.48%,2025-11-10,2025-11-10 00:00:00,0.081820,14.0,-1.70%,0.2547,,0.2590,0.5137,0.0000,,,-21.68,-22.20,-22.20,-22.20,9898.58,否,中（改成20%）,弱（12%）,btc_yesterday_yang_flatten_open,0.0165%,3.0,424.44,否,,,0.081500,1.31%,0.96%,0.082620,2.70%,0.96%,0.082710,,0.96%,0.96%,0.96%,1.99%,,,,,,,,,
34,UMAUSDT,54.7,67.2,90.6,0.742,,,,0.0000,2025-11-09 08:00,1.120000,2025-11-09,2025-11-09 09:00:00,2025-11-09 09:00:00,,1.107000,-1.16%,2025-11-10,2025-11-10 00:00:00,1.027000,15.0,7.23%,0.2419,,0.2244,0.4664,0.0000,,,87.42,86.95,86.95,86.95,9985.53,是,强（保持30%）,强（30%）,btc_yesterday_yang_flatten_open,-0.1379%,3.0,403.21,否,,,1.019000,-7.95%,8.94%,1.032000,-6.78%,8.94%,1.056000,,8.94%,12.47%,8.94%,13.91%,,,,,,,,,
35,BROCCOLI714USDT,46.1,44.7,22.4,1.995,,,,0.0000,2025-11-09 18:00,0.019300,2025-11-09,2025-11-09 19:00:00,2025-11-09 19:00:00,,0.019350,0.26%,2025-11-10,2025-11-10 00:00:00,0.019580,5.0,-1.19%,0.2298,,0.2326,0.4624,-0.0575,1,0.0050%,-13.66,-14.12,-14.06,-14.06,9971.47,否,中（改成20%）,中（保持20%）,btc_yesterday_yang_flatten_open,0.0000%,3.0,383.05,否,,,0.019420,0.36%,0.57%,0.019340,-0.05%,0.93%,0.018770,,4.44%,10.80%,0.57%,2.84%,,,,,,,,,
36,BANANAS31USDT,43.7,49.1,59.7,0.822,,,,0.0000,2025-11-09 16:00,0.002817,2025-11-09,2025-11-09 17:00:00,2025-11-09 17:00:00,,0.002807,-0.35%,2025-11-10,2025-11-10 00:00:00,0.002744,7.0,2.24%,0.2183,,0.2134,0.4318,-0.0546,1,0.0050%,24.50,24.07,24.12,24.12,9995.60,否,中（改成20%）,中（保持20%）,btc_yesterday_yang_flatten_open,0.0000%,3.0,363.90,否,,,0.002767,-1.43%,2.60%,0.002813,0.21%,3.60%,0.002639,,7.48%,19.06%,3.60%,0.46%,,,,,,,,,
37,API3USDT,40.2,53.9,86.7,0.621,,,,0.0000,2025-11-09 00:00,0.658400,2025-11-09,2025-11-09 01:00:00,2025-11-09 01:00:00,,0.660400,0.30%,2025-11-10,2025-11-10 00:00:00,0.677800,23.0,-2.63%,0.2074,,0.2129,0.4203,11.6102,5,-0.2239%,-27.33,-27.75,-39.36,-39.36,9956.24,否,中（改成20%）,弱（12%）,btc_yesterday_yang_flatten_open,-0.6752%,3.0,345.71,否,,,0.638300,-3.35%,3.56%,0.667700,1.11%,3.94%,0.673900,,3.94%,5.22%,3.94%,0.70%,,,,,,,,,
38,MOODENGUSDT,31.7,22.6,28.9,0.780,,,,0.0000,2025-11-09 16:00,0.101070,2025-11-09,2025-11-09 17:00:00,2025-11-09 17:00:00,,0.099000,-2.05%,2025-11-10,2025-11-10 00:00:00,0.097710,7.0,1.30%,0.1971,,0.1945,0.3915,0.0000,,,12.84,12.45,12.45,12.45,9968.69,否,中（改成20%）,中（保持20%）,btc_yesterday_yang_flatten_open,-0.0837%,3.0,328.42,否,,,0.102370,3.40%,2.22%,0.097590,-1.42%,2.29%,0.094380,,5.02%,10.66%,2.22%,3.71%,,,,,,,,,
39,GOATUSDT,23.3,12.7,16.3,0.778,,,,0.0000,2025-11-09 16:00,0.051100,2025-11-09,2025-11-09 17:00:00,2025-11-09 17:00:00,,0.050980,-0.23%,2025-11-10,2025-11-10 00:00:00,0.050650,7.0,0.65%,0.1872,,0.1860,0.3732,0.0000,,,6.06,5.69,5.69,5.69,9974.37,否,中（改成20%）,中（保持20%）,btc_yesterday_yang_flatten_open,0.0000%,3.0,312.00,否,,,0.050720,-0.51%,2.43%,0.051540,1.10%,2.43%,0.050660,,2.43%,11.00%,2.43%,0.53%,,,,,,,,,
40,HEMIUSDT,22.2,6.6,5.4,1.226,,,,0.0000,2025-11-09 16:00,0.038430,2025-11-09,2025-11-09 17:00:00,2025-11-09 17:00:00,,0.038120,-0.81%,2025-11-10,2025-11-10 00:00:00,0.037470,7.0,1.71%,0.1778,,0.1748,0.3526,0.0000,,,15.16,14.81,14.81,14.81,9989.18,否,中（改成20%）,中（保持20%）,btc_yesterday_yang_flatten_open,0.0000%,3.0,296.40,否,,,0.039090,2.54%,1.60%,0.036940,-3.10%,4.41%,0.035390,,7.97%,18.18%,3.49%,9.13%,,,,,,,,,
41,CROSSUSDT,113.8,74.6,104.5,0.713,,,,0.0000,2025-11-12 12:00,0.113470,2025-11-12,2025-11-12 13:00:00,2025-11-12 13:00:00,,0.118850,4.74%,2025-11-12,2025-11-12 15:00:00,0.093892,2.0,21.00%,0.2997,,0.2367,0.5364,0.0000,,,314.66,314.12,314.12,314.12,10303.30,是,中（改成20%）,中（保持20%）,take_profit,0.1696%,3.0,499.46,否,,,0.097880,-17.64%,23.63%,0.104970,-11.68%,24.86%,0.098200,,24.86%,24.86%,24.86%,4.07%,,21.0%,,,,,,,
42,ESPORTSUSDT,46.1,12.6,13.0,0.972,,,,0.0000,2025-11-12 16:00,0.375850,2025-11-12,2025-11-12 17:00:00,2025-11-12 17:00:00,,0.379010,0.84%,2025-11-13,2025-11-13 08:00:00,0.299418,15.0,21.00%,0.3091,,0.2442,0.5533,0.0000,,,324.55,324.00,324.00,324.00,10627.30,是,中（改成20%）,弱（12%）,take_profit,0.5217%,3.0,515.17,否,,,0.363620,-4.06%,11.23%,0.380850,0.49%,11.23%,0.343550,,43.94%,43.94%,25.54%,2.64%,,21.0%,,,,,,,
43,BANUSDT,29.2,42.7,28.2,1.513,,,,0.0000,2025-11-12 15:00,0.060240,2025-11-12,2025-11-12 16:00:00,2025-11-12 16:00:00,,0.059350,-1.48%,2025-11-15,2025-11-15 16:00:00,0.053750,72.0,9.44%,0.2936,,0.2659,0.5596,-1.3248,18,0.0050%,138.53,137.98,139.30,139.30,10766.60,是,中（改成20%）,弱（12%）,max_hold_time,0.0982%,3.0,489.41,否,,,0.058810,-0.91%,3.02%,0.059970,1.04%,5.46%,0.055610,-6.30%,7.38%,13.26%,13.26%,1.94%,,,,,,,,,
44,MITOUSDT,22.1,31.5,32.2,0.978,,,,0.0000,2025-11-12 10:00,0.088860,2025-11-12,2025-11-12 11:00:00,2025-11-12 11:00:00,,0.088450,-0.46%,2025-11-15,2025-11-15 11:00:00,0.082010,72.0,7.28%,0.2790,,0.2587,0.5376,0.0000,,,101.56,101.02,101.02,101.02,10867.62,否,中（改成20%）,弱（12%）,max_hold_time,0.0000%,3.0,464.94,否,,,0.088510,0.07%,0.38%,0.086860,-1.80%,7.25%,0.086960,-1.68%,7.25%,10.31%,10.31%,1.83%,,,,,,,,,
45,PARTIUSDT,19.8,6.7,6.2,1.075,,,,0.0000,2025-11-12 07:00,0.078360,2025-11-12,2025-11-12 08:00:00,2025-11-12 08:00:00,,0.078880,0.66%,2025-11-12,2025-11-12 19:00:00,0.093078,11.0,-18.00%,0.2650,,0.3127,0.5777,0.0000,,,-238.51,-239.09,-239.09,-239.09,10628.53,是,中（改成20%）,中（保持20%）,stop_loss,-0.8702%,3.0,441.69,否,,,0.074500,-5.55%,6.47%,0.091420,15.90%,8.05%,0.104150,,8.05%,8.05%,8.05%,2.28%,,,,,,,,,
46,BABYUSDT,19.0,6.8,8.4,0.811,,,,0.0000,2025-11-12 22:00,0.034440,2025-11-12,2025-11-12 23:00:00,2025-11-12 23:00:00,,0.033110,-3.86%,2025-11-13,2025-11-13 18:00:00,0.029468,19.0,11.00%,0.2578,,0.2295,0.4873,23.9019,5,-0.3708%,141.81,141.33,117.42,117.42,10745.96,否,中（改成20%）,弱（12%）,take_profit,-2.2465%,3.0,429.74,否,,,0.032580,-1.60%,5.23%,0.032260,-2.57%,5.23%,0.028950,,13.02%,21.47%,11.45%,4.14%,,11.0%,,,,,,,
